student_id,grade,favorite_subject,hours_sleep,screen_hours,focus_score,minutes_reading,favorite_snack,pet,likes_coding
107,7,History,9.2,2.1,78,45,Fruit,Cat,no
108,6,PE,6.3,5.3,55,50,Fruit,Fish,no
109,8,Math,7.0,1.9,74,22,Chips,Fish,yes
110,7,Music,10.0,2.1,85,37,Cookies,Cat,no
111,7,Music,9.4,1.1,84,0,Crackers,Fish,yes
112,7,Math,6.0,5.3,59,13,Cookies,Cat,yes
113,8,PE,9.2,1.7,82,24,Fruit,Bird,no
114,6,English,9.6,4.1,79,23,Cookies,Bird,yes
115,6,Music,6.4,2.1,61,47,Granola bar,Hamster,no
116,7,Coding,9.3,1.9,86,48,Cookies,Dog,yes
117,7,PE,9.9,1.3,89,28,Granola bar,None,no
118,6,Science,9.2,0.6,83,0,Crackers,None,yes
119,8,History,7.5,4.0,60,45,Granola bar,None,no
120,8,Coding,6.9,0.8,77,38,Popcorn,Dog,yes
